system,n_valid_steps,duration_days,start_lon,start_lat,end_lon,end_lat,westward_displacement_deg,direct_displacement_km,mean_direct_speed_ms,crosses_0E,crosses_20W,max_strength_s-1
1,27,6.5,-32.88323581915943,12.345799107900353,-58.813108721795246,2.600381401965535,25.929872902635815,3053.470682332619,5.437091670820191,False,False,1.590847043364031e-05
2,36,8.75,4.630370535257763,13.21418069435684,-45.297192075401696,13.911498655242307,49.92756261065946,5387.281367409265,7.12603355477416,True,True,1.9371989395058982e-05
3,26,6.25,21.724254890105207,6.49647136392537,-11.061505476072814,14.00999611532131,32.785760366178025,3679.063736069507,6.813080992721309,True,False,1.5253861136935834e-05
4,28,6.75,5.398658936042736,7.677206924269669,-25.484656824254795,15.15018258647358,30.88331576029753,3462.990945688306,5.937913144184338,True,True,2.6138000080953666e-05
5,16,3.75,17.78605180387443,8.661783215143526,-5.241898595565765,11.15662920775354,23.027950399440194,2536.8761756790177,7.829864739750055,True,False,1.5686098477846014e-05
6,9,2.0,38.02870387906065,9.176835410710156,23.760548258370775,7.405192512859489,14.268155620689875,1582.1255682339026,9.155819260612862,False,False,7.5747176604156465e-06
